,1a,2a,3a,4a,5a,1b,2b,3b,4b,5b
1,-0.093758246,0.110010813,0.023311747,0.045989247,-0.02795424,-0.05473748,-0.049698083,-0.202050901,-0.096335078,-0.146821151
2,0.311628383,0.02198173,-0.116062503,-0.060042651,-0.012420979,0.011906714,-0.113505737,-0.269913627,-0.006353333,-0.111359601
3,0.047056297,0.150689234,0.097875781,0.013028903,0.002838585,-0.046332685,0.051824176,-0.206488155,-0.047537497,-0.028563004
4,0.044682543,0.148025013,-0.042905296,-0.25828251,-0.023782606,-0.057181782,0.271751618,-0.176117867,-0.076604165,-0.070281663
5,0.122698642,0.186401133,-0.178124687,-0.228164736,-0.072293719,0.097916815,0.102721565,-0.044400912,-0.151795491,-0.041314758
6,0.240716565,0.04308769,-0.055462242,-0.15820622,-0.071407341,0.100519218,0.135024114,-0.148501747,-0.197484255,-0.061778573
7,0.219816411,0.180679426,-0.05918784,-0.037723039,-0.041298601,0.107455449,0.123754995,-0.169903469,-0.075329301,-0.068299729
8,0.206519717,0.195389274,0.023531617,-0.182848472,-0.031327268,-0.06539608,-0.059840501,-0.299535687,-0.115817725,-0.145598215
9,0.151761469,-0.037875737,-0.017318814,0.056367971,-0.013808543,-0.068193201,-0.173837353,-0.161241154,-0.113650265,-0.035197183
10,0.089330956,-0.024851898,0.055649094,-0.088938864,-0.021521468,-0.01585372,0.147337963,-0.118548286,-0.143751114,-0.118184583
11,0.093730558,0.058618424,0.088861075,-0.187373727,-0.100559869,-0.04971541,0.292861865,-0.1598899,-0.050663642,-0.029103893
12,0.055635342,0.237707388,-0.025314712,-0.105810196,-0.0266143,0.118452176,0.091832848,-0.342670218,-0.038763749,0.121622036
13,0.133328625,0.161388726,0.067480936,-0.109595177,-0.043090513,0.018316904,0.159432337,-0.242375497,-0.002695959,-0.040726905
14,0.136428593,0.170019314,0.023374342,-0.155992772,-0.05681981,-0.049279027,0.175515164,-0.248570312,0.044627434,-0.008109389
15,0.197935786,0.315834878,0.058098471,-0.098305269,-0.022538053,-0.01722304,0.106117305,-0.342220299,0.089998993,-0.120040476
